principio_activo,unidad_de_dispensacion,concentracion,unidad_base,nombre_comercial,fabricante,factoresprecio,numerofactor
acetaminofen,Solución o suspensión oral,"acetaminofen 3,2 g",ml,Acetaminofen Jarabe,Mk,Medio,2
acetaminofen,Jarabe,"acetaminofen 3,2 g",ml,Acetaminofen,Genfar,Alto,3
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Mejoral,Tecnoquimicas,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Algisil,Gimed,Medio,2
acetaminofen,Solución o suspensión oral,acetaminofen 3 g,ml,Firexifen Jarabe,Labquifar,Medio,2
acetaminofen,Solución o suspensión oral,acetaminofen 100 mg,ml,Firexifen Gotas,Labquifar,Bajo,1
acetaminofen,Jarabe,"acetaminofen 3,2 g",ml,Lofoten Jarabe,Nevox,Bajo,1
acetaminofen,Jarabe,acetaminofen 3200 mg,ml,Dolex Bebes Jarabe,Glaxosmithkline,Bajo,1
acetaminofen,Jarabe,acetaminofen 3200 mg,ml,Dolex Niños,Glaxosmithkline,Alto,3
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Firexifen,Labquifar,Medio,2
acetaminofen,Solución o suspensión inyectable,acetaminofen 1 g,ml,Lespyren,Orphanpharma,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Acetaminofen Jarabe,Laproff,Bajo,1
acetaminofen,Solución o suspensión oral,acetaminofen 100 mg,ml,Acetaminofen Gotas,Laproff,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,Tecnoquimicas,Alto,3
acetaminofen,Tableta o cápsula,acetaminofen 100 mg,mg,Dolex Niños,Glaxosmithkline,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Adorem,Siegfried,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Adorem Jarabe Niños,Siegfried,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Ametrex,Anglopharma,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Ametrex,Anglopharma,Alto,3
acetaminofen,Jarabe,acetaminofen 3 g,ml,Dolofen Jarabe,Procaps,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Dolofen,Procaps,Alto,3
acetaminofen,Jarabe,acetaminofen 3 g,ml,Acetaminofen Jarabe,La Sante,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,La Sante,Alto,3
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,Genfar,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,Tecnoquimicas,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Acetaminofen,American Generics,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,American Generics,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 325 mg,mg,Dolotrin,Licol,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,Labinco,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Acetaminofen,Pentacoop,Bajo,1
acetaminofen,Tableta o cápsula,acetaminofen 325 mg + oxicodona-naloxona 5 mg,mg,Senidol,Legrand,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Nadorex,Best,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,Laproff,Bajo,1
acetaminofen,Solución o suspensión oral,acetaminofen 100 mg,ml,Dolpirin A,Biochem,Alto,3
acetaminofen,Jarabe,acetaminofen 3 g,ml,Dolpirin A,Biochem,Alto,3
acetaminofen,Tableta o cápsula,"acetaminofen 325 mg + tramadol 37,5 mg",mg,Tralmed,Biochem,Alto,3
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,Pentacoop,Bajo,1
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Dolex Avanzado,Glaxosmithkline,Alto,3
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Dolpirin,Biochem,Alto,3
acetaminofen,Jarabe,acetaminofen 3 g,ml,Nadorex,Best,Medio,2
acetaminofen,Solución o suspensión inyectable,acetaminofen 10 mg,ml,Traucet,Corpaul,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Sanafen,Lebriut,Bajo,1
acetaminofen,Solución o suspensión inyectable,acetaminofen 500 mg,ml,Paracetamolsolucion,Fresenius,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Cronofen,Novamed,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Cronofen,Novamed,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Dolex Activgel,Glaxosmithkline,Alto,3
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Dolex,Glaxosmithkline,Alto,3
acetaminofen,Solución o suspensión oral,acetaminofen 100 mg,ml,Sanafen Gotas,Lebriut,Bajo,1
acetaminofen,Solución o suspensión oral,acetaminofen 100 mg,ml,Cronofengotas,Novamed,Medio,2
acetaminofen,Solución o suspensión oral,"acetaminofen 3,2 g",ml,Acetaminofen Jarabe,Mk,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Geniol,Mintlab,Alto,3
acetaminofen,Solución o suspensión oral,acetaminofen 3 g,ml,Firexifen Jarabe,Labquifar,Medio,2
acetaminofen,Jarabe,acetaminofen 3200 mg,ml,Dolex Bebes Jarabe,Glaxosmithkline,Bajo,1
acetaminofen,Jarabe,acetaminofen 3200 mg,ml,Dolex Niños,Glaxosmithkline,Alto,3
acetaminofen,Jarabe,acetaminofen 3 g,ml,Geniol Niños 3%,Mintlab,Alto,3
acetaminofen,Solución o suspensión oral,acetaminofen 5 g,ml,Geniol Niños,Mintlab,Medio,2
acetaminofen,Solución o suspensión inyectable,acetaminofen 1 g,ml,Lespyren,Orphanpharma,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Acetaminofen Jarabe,Laproff,Bajo,1
acetaminofen,Solución o suspensión oral,acetaminofen 100 mg,ml,Acetaminofen Gotas,Laproff,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,Tecnoquimicas,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 100 mg,mg,Dolex Niños,Glaxosmithkline,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Adorem,Siegfried,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Adorem Jarabe Niños,Siegfried,Alto,3
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Ametrex,Anglopharma,Bajo,1
acetaminofen,Jarabe,acetaminofen 3 g,ml,Ametrex,Anglopharma,Medio,2
acetaminofen,Jarabe,acetaminofen 3 g,ml,Acetaminofen Jarabe,Tecnofar,Bajo,1
acetaminofen,Jarabe,acetaminofen 3 g,ml,Dolofen Jarabe,Procaps,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Dolofen,Procaps,Medio,2
acetaminofen,Tableta o cápsula,acetaminofen 500 mg,mg,Acetaminofen,Genfar,Bajo,1
acetaminofen + cafeina + acido acetilsalicilico,Tableta o cápsula,cafeina 65 mg + acetaminofen 250 mg + acido acetil salicilico 250 mg,mg,Sevedol,Lafrancol,Medio,2
acetaminofen + cafeina + acido acetilsalicilico,Tableta o cápsula,acido acetil salicilico 250 mg + cafeina 65 mg + acetaminofen 250 mg,mg,Dolpirin Extra Fuerte,Biochem,Medio,2
acetaminofen + cafeina + acido acetilsalicilico,Tableta o cápsula,cafeina 65 mg + acetaminofen 250 mg + acido acetil salicilico 250 mg,mg,Sevedol,Lafrancol,Medio,2
acetaminofen + cafeina + acido acetilsalicilico,Tableta o cápsula,acido acetil salicilico 250 mg + cafeina 65 mg + acetaminofen 250 mg,mg,Dolpirin Extra Fuerte,Biochem,Medio,2
acetaminofen + cafeina + clorfeniramina,Tableta o cápsula,acetaminofen + cafeina + clorfeniramina,mg,Sintorex,Quimica Patric,Medio,2
acetaminofen + cafeina + fenilefrina,Tableta o cápsula,acetaminofen + cafeina + fenilefrina,mg,Oxygrip,Eurofarma,Medio,2
acetaminofen + cafeina + feniñefrina,Tableta o cápsula,acetaminofen + cafeina + feniñefrina,mg,Gripofen,Seres,Medio,2
acetaminofen + cafeina + ibuprofeno,Tableta o cápsula,ibuprofeno 400 mg + acetaminofen 250 mg + cafeina 65 mg,mg,Sevedol Extrafuerte,Lafrancol,Medio,2
acetaminofen + cafeina + ibuprofeno,Tableta o cápsula,ibuprofeno 400 mg + acetaminofen 250 mg + cafeina 65 mg,mg,Sevedol Extrafuerte,Lafrancol,Medio,2
acetaminofen + cafeina + ibuprofeno,Tableta o cápsula,acetaminofen 250 mg + cafeina 65 mg + ibuprofeno 400 mg,mg,Ibuflash Migran,Tecnoquimicas,Medio,2
acetaminofen + cafeina + ibuprofeno,Tableta o cápsula,acetaminofen 250 mg + cafeina 65 mg + ibuprofeno 400 mg,mg,Ibuflash Migran,Tecnoquimicas,Medio,2
acetaminofen + cafeina + ibuprofeno,Tableta o cápsula,ibuprofeno 400 mg + acetaminofen 250 mg + cafeina 65 mg,mg,Quimoral Forte,Armofar,Medio,2
acetaminofen + cafeina + ibuprofeno,Tableta o cápsula,cafeina 65 mg + ibuprofeno 400 mg + acetaminofen 250 mg,mg,Bufedol F,Gruinfacol,Medio,2
acetaminofen + cafeina + ibuprofeno,Tableta o cápsula,cafeina 65 mg + acetaminofen 250 mg + ibuprofeno 200 mg,mg,Genfar Dol Ultraforte,Sanofi Aventis,Medio,2
acetaminofen + cafeina + ibuprofeno,Tableta o cápsula,ibuprofeno 400 mg + acetaminofen 250 mg + cafeina 65 mg,mg,Sevedol Extrafuerte,Lafrancol,Medio,2
acetaminofen + cafeina + ibuprofeno,Tableta o cápsula,acetaminofen 250 mg + cafeina 65 mg + ibuprofeno 400 mg,mg,Ibuflash Migran,Tecnoquimicas,Medio,2
acetaminofen + cafeina + ibuprofeno,Tableta o cápsula,cafeina 65 mg + ibuprofeno 400 mg + acetaminofen 250 mg,mg,Bufedol F,Gruinfacol,Medio,2
acetaminofen + cafeina + naproxeno,Tableta o cápsula,acetaminofen 250 mg + naproxeno 220 mg + cafeina 65 mg,mg,Movidol,Pauly,Medio,2
acetaminofen + cafeina + naproxeno,Tableta o cápsula,acetaminofen 250 mg + naproxeno 220 mg + cafeina 65 mg,mg,Movidol,Pauly,Medio,2
acetaminofen + cafeina + naproxeno,Tableta o cápsula,cafeina 65 mg + naproxeno 220 mg + acetaminofen 250 mg,mg,Colik Forte,Lafrancol,Medio,2
acetaminofen + cafeina + naproxeno,Tableta o cápsula,cafeina 65 mg + naproxeno 220 mg + acetaminofen 250 mg,mg,Colik Forte,Lafrancol,Medio,2
acetaminofen + cafeina + naproxeno,Tableta o cápsula,acetaminofen 250 mg + cafeina 65 mg + naproxeno 220 mg,mg,Dolicox Forte Max,Patmar,Bajo,1
acetaminofen + cafeina + naproxeno,Tableta o cápsula,acetaminofen 250 mg + cafeina 65 mg + naproxeno 220 mg,mg,X Ray Dol,Genoma,Alto,3
acetaminofen + cafeina + naproxeno,Tableta o cápsula,acetaminofen 325 mg + naproxeno 250 mg + cafeina 65 mg,mg,Duraflex Advance,Tecnoquimicas,Medio,2
acetaminofen + cafeina + naproxeno,Tableta o cápsula,naproxeno 220 mg + cafeina 65 mg + acetaminofen 250 mg,mg,Sevedol Tense,Synthesis,Medio,2
acetaminofen + cafeina + naproxeno,Tableta o cápsula,naproxeno 220 mg + cafeina 65 mg + acetaminofen 250 mg,mg,Sevedol Tense,Synthesis,Medio,2
acetaminofen + cafeina + naproxeno,Tableta o cápsula,acetaminofen 250 mg + naproxeno 220 mg + cafeina 65 mg,mg,Movidol,Pauly,Medio,2
acetaminofen + cafeina + naproxeno,Tableta o cápsula,cafeina 65 mg + naproxeno 220 mg + acetaminofen 250 mg,mg,Colik Forte,Lafrancol,Medio,2
acetaminofen + cafeina + naproxeno,Tableta o cápsula,acetaminofen 325 mg + naproxeno 250 mg + cafeina 65 mg,mg,Duraflex Advance,Tecnoquimicas,Medio,2
acetaminofen + cetirizina + fenilefrina,Tableta o cápsula,cetirizina 5 mg + fenilefrina 10 mg + acetaminofen 500 mg,mg,Griptotal,Genfar,Medio,2
acetaminofen + cetirizina + fenilefrina,Tableta o cápsula,cetirizina 5 mg + fenilefrina 10 mg + acetaminofen 500 mg,mg,Griptotal,Genfar,Medio,2
acetaminofen + cetirizina + fenilefrina,Tableta o cápsula,acetaminofen + cetirizina + fenilefrina,mg,Noxpirin Plus,Siegfried,Medio,2
acetaminofen + cetirizina + fenilefrina,Tableta o cápsula,acetaminofen 500 mg + cetirizina 5 mg + fenilefrina 5 mg,mg,Nogripaxplus,Stelar,Medio,2
acetaminofen + cetirizina + fenilefrina,Jarabe,"acetaminofen 3 g + fenilefrina 0,1 g + cetirizina 0,0594 g",ml,Broxol F,Incobra,Medio,2
acetaminofen + cetirizina + fenilefrina,Jarabe,"fenilefrina 100 mg + acetaminofen 6,5 g + cetirizina 50 mg",ml,Nogripax Jarabe,Stelar,Alto,3
acetaminofen + cetirizina + fenilefrina,Jarabe,cetirizina 50 mg + acetaminofen 6500 mg + fenilefrina 100 mg,ml,Zetygrip 4 Jarabe Niños,Ruecam,Medio,2
acetaminofen + cetirizina + fenilefrina,Tableta o cápsula,acetaminofen 500 mg + fenilefrina 10 mg + cetirizina 5 mg,mg,Resgripfar,Farmacomercial,Medio,2
acetaminofen + cetirizina + fenilefrina,Tableta o cápsula,acetaminofen 500 mg + fenilefrina 10 mg + cetirizina 5 mg,mg,Resgripfar,Farmacomercial,Medio,2
acetaminofen + clorfeniramina + fenilefrina,Polvos o granulados,acetaminofen 500 mg + maleato de clorfeniramina 2 mg + fenilefrina 10 mg,g,Pax Caliente Noche,Sanofi Aventis,Medio,2
acetaminofen + clorfeniramina + fenilefrina,Tableta o cápsula,acetaminofen 500 mg + maleato de clorfeniramina 2 mg + fenilefrina 5 mg,mg,Dolex Contra Los Sintomas De La Gripa,Glaxosmithkline,Medio,2
acetaminofen + clorfeniramina + fenilefrina,Tableta o cápsula,acetaminofen 500 mg + maleato de clorfeniramina 2 mg + fenilefrina 5 mg,mg,Dolex Contra Los Sintomas De La Gripa,Glaxosmithkline,Medio,2
acetaminofen + clorfeniramina + fenilefrina,Tableta o cápsula,acetaminofen 500 mg + maleato de clorfeniramina 2 mg + fenilefrina 5 mg,mg,Clarigrip,Bayer,Alto,3
acetaminofen + clorfeniramina + fenilefrina,Polvos o granulados,fenilefrina 10 mg + clorfeniramina 2 mg + acetaminofen 500 mg,g,Genfargrip Noche,Genfar,Medio,2
acetaminofen + clorfeniramina + fenilefrina,Polvos o granulados,acetaminofen 500 mg + fenilefrina 10 mg + clorfeniramina 4 mg,g,Next Gl Noche,Genoma,Medio,2
acetaminofen + clorfeniramina + fenilefrina,Polvos o granulados,acetaminofen 500 mg + maleato de clorfeniramina 2 mg + fenilefrina 10 mg,g,Pax Caliente Noche,Sanofi Aventis,Medio,2
acetaminofen + clorfeniramina + fenilefrina,Tableta o cápsula,acetaminofen 500 mg + maleato de clorfeniramina 2 mg + fenilefrina 5 mg,mg,Dolex Contra Los Sintomas De La Gripa,Glaxosmithkline,Medio,2
acetaminofen + clorfeniramina + fenilefrina,Tableta o cápsula,acetaminofen 500 mg + maleato de clorfeniramina 2 mg + fenilefrina 5 mg,mg,Dolex Contra Los Sintomas De La Gripa,Glaxosmithkline,Medio,2
acetaminofen combinaciones,Tableta o cápsula,acetaminofen combinaciones,mg,Tabcin Noche,Bayer,Alto,3
acetaminofen combinaciones,Tableta o cápsula,acetaminofen combinaciones,mg,Tabcin Active,Bayer,Medio,2
acetaminofen combinaciones,Tableta o cápsula,acetaminofen combinaciones,mg,Zetygrip 4,Ruecam,Bajo,1
acetaminofen + dexibuprofeno + cafeina,Tableta o cápsula,dexibuprofeno 200 mg + cafeina 65 mg + acetaminofen 250 mg,mg,Taflaxforte,Closter Pharma,Medio,2
acetaminofen + dexibuprofeno + cafeina,Tableta o cápsula,dexibuprofeno 200 mg + cafeina 65 mg + acetaminofen 250 mg,mg,Taflaxforte,Closter Pharma,Medio,2
acetaminofen + difenhidramina + fenilefrina,Polvos o granulados,acetaminofen 500 mg + fenilefrina 10 mg + difenhidramina 25 mg,g,Noraver Noche,Tecnoquimicas,Medio,2
acetaminofen + difenhidramina + fenilefrina,Polvos o granulados,acetaminofen 500 mg + fenilefrina 10 mg + difenhidramina 25 mg,g,Noraver Noche,Tecnoquimicas,Medio,2
acetaminofen + difenhidramina + fenilefrina,Polvos o granulados,acetaminofen 500 mg + fenilefrina 10 mg + difenhidramina 25 mg,g,Noraver Noche,Tecnoquimicas,Medio,2
acetaminofen + difenhidramina + fenilefrina,Polvos o granulados,acetaminofen 500 mg + fenilefrina 10 mg + difenhidramina 25 mg,g,Noraver Noche,Tecnoquimicas,Medio,2
acetaminofen + difenhidramina + fenilefrina,Polvos o granulados,acetaminofen 500 mg + fenilefrina 10 mg + difenhidramina 25 mg,g,Noraver Noche,Tecnoquimicas,Medio,2
acetaminofen + fenilefrina + cetirizina,Jarabe,"fenilefrina 0,1333 g + acetaminofen 3,3333 g + cetirizina 0,0395 g",ml,Noxpirin Ultra,Siegfried,Medio,2
acetaminofen + fenilefrina + cetirizina,Jarabe,cetirizina 50 mg + acetaminofen 3000 mg + fenilefrina 100 mg,ml,Noxpirin Junior,Siegfried,Medio,2
acetaminofen + fenilefrina + cetirizina,Tableta o cápsula,cetirizina 5 mg + acetaminofen 500 mg + fenilefrina 5 mg,mg,Gripofen Plus,Seres,Medio,2
acetaminofen + fenilefrina + cetirizina,Jarabe,"fenilefrina 0,1 g + cetirizina 0,05 g + acetaminofen 6,5 g",ml,Chalver Fluzetrin,Chalver,Medio,2
acetaminofen + fenilefrina + cetirizina,Solución o suspensión oral,fenilefrina 2 mg + cetirizina 1 mg + acetaminofen 100 mg,ml,Fluzetrin F,Chalver,Medio,2
acetaminofen + fenilefrina + cetirizina,Tableta o cápsula,fenilefrina 10 mg + acetaminofen 500 mg + cetirizina 5 mg,mg,Chalver Fluzetrin F,Chalver,Medio,2
acetaminofen + fenilefrina + cetirizina,Jarabe,"fenilefrina 100 mg + acetaminofen 6,5 g + cetirizina 50 mg",ml,Oxygrip,Eurofarma,Bajo,1
acetaminofen + fenilefrina + cetirizina,Jarabe,"fenilefrina 0,1 g + cetirizina 0,05 g + acetaminofen 6,5 g",ml,Chalver Fluzetrin,Chalver,Medio,2
acetaminofen + fenilefrina + cetirizina,Solución o suspensión oral,fenilefrina 2 mg + cetirizina 1 mg + acetaminofen 100 mg,ml,Fluzetrin F,Chalver,Medio,2
acetaminofen + fenilefrina + cetirizina,Tableta o cápsula,fenilefrina 10 mg + acetaminofen 500 mg + cetirizina 5 mg,mg,Chalver Fluzetrin F,Chalver,Medio,2
acetaminofen + fenilefrina + clorfeniramina,Jarabe,"fenilefrina 0,1 g + maleato de clorfeniramina 0,05 g + acetaminofen 3 g",ml,Zas Jarabe,Comerfar,Medio,2
acetaminofen + fenilefrina + clorfeniramina,Jarabe,"maleato de clorfeniramina 0,005 g + fenilefrina 0,05 g + acetaminofen 3 g",ml,Gripofen - G,Seres,Medio,2
acetaminofen + fenilefrina + clorfeniramina,Tableta o cápsula,fenilefrina 10 mg + maleato de clorfeniramina 2 mg + acetaminofen 500 mg,mg,Zas,Comerfar,Medio,2
acetaminofen + fenilefrina + clorfeniramina,Jarabe,acetaminofen 3 g + maleato de clorfeniramina 5 mg + fenilefrina 50 mg,ml,Taigrip,Kevipharma,Medio,2
