principioactivo,concentracion,formafarmaceutica
ALCANFOR + SALICILATO DE METILO + MENTOL +  TREMENTINA + EUCALIPTOL,5 G + 4 5 G + 3 G + 4 7 G + 2 5 G    / 100 G,UNGÜENTO TÓPICO
ALCANFOR + SALICILATO DE METILO + MENTOL +  TREMENTINA + EUCALIPTOL,3 G + 2 G + 1 5 G + 3 G + 4 G  / 100 G,UNGÜENTO TÓPICO
ALCANFOR + SALICILATO DE METILO + MENTOL +  TREMENTINA + EUCALIPTOL,4 3 G + 8 6 G + 4 3 G + 4 3 G + 4 3 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + SALICILATO DE METILO + MENTOL +  TREMENTINA + EUCALIPTOL,2 2 G + 1 1 G + 1 1 G + 1 1 G + 0 5 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + OXIDO DE ZINC + HEXACLOROFENO + ACIDO BORICO,1 G + 5 G + 0 1 G + 4 G  / 100 G,POLVO PARA USO TÓPICO
ALCANFOR + FENOL + TIMOL + BENZOCAINA,10 G + 2 G + 1 G + 0 3 G  / 100 ML,LIQUIDO OLEOSO  ACEITE
ALCANFOR+  OXIDO DE ZINC + CLORURO DE BENZALCONIO + MENTOL,0 7 G + 10 G + 0 1 G + 0 1 G / 100 G,POLVO PARA USO TÓPICO
ALCANFOR + ALICILATO DE METILO + TREMENTINA + CAPSICUM TINTURA + AMONIACO SOLUCIÓN AL 22%,2 G + 25 G + 15 G + 0 1 G + 1 G / 100 ML,SOLUCIÓN TÓPICA
ALCANFOR + EUCALIPTO + MENTOL  + MENTA + CTINTURA DE BENJUI COMPUESTA  BENJUI EN GRANO ALOES EN POLVO ESTORAQUE ESPONJILLA BALSAMO DE TOLU ALCOHOL 96º,5G + 1 G + 3 ML + 0 2 ML + 20 ML /100ML,SOLUCIÓN NASAL
ALCANFOR + ALCOHOL ETILICO + MENTOL,0 5 G + 67 ML + 0 5 G  / 100 ML,SOLUCIÓN TÓPICA
ALCANFOR + MENTOL + EUCALIPTO + TREMENTINA + TIMOL,5 2 G + 2 8 G + 1 3 G + 4 6 G + 0 09 / 100 G,UNGÜENTO TÓPICO
ALCANFOR + ACIDO SALICILICO + ACIDO UNDECILICO,1 G + 2 G + 1 G  / 100 G,POLVO PARA USO TÓPICO
ALCANFOR + ACIDO SALICILICO + ACIDO BENZOICO + EUCALIPTO + MENTA,0 05 G + 1 8 G + 0 1 G + 0 2 G + 0 02 G,LOCIÓN
ALCANFOR + SALICILATO DE METILO + ACIDO SALICILICO + EUCALIPTO + MENTOL,2 5 G + 8 G + 3 G + 5 G + 2 5 G /  100 ML,SOLUCIÓN TÓPICA
ALCANFOR+ SALICILATO DE METILO + MENTOL + EUCALIPTO,4 5G+ 8G + 4 5G+ 6G /100ML,LOCION TOPICA
ALCANFOR + SALICILATO DE METILO + OLEORESINA DE CAPSICO,5 G + 15 G +  5 G / 100 ML,SOLUCIÓN TÓPICA
ALCANFOR + MENTOL + EUCALIPTO + GOMENOL,3 G + 0 2 G + 4 G + 2 G / 100 G,CREMA TÓPICA
ALCANFOR + MENTOL + EUCALIPTO + GOMENOL,3 G + 0 3 G + 4 G + 2 G / 100 ML,LIQUIDO OLEOSO  ACEITE
ALCANFOR + MENTOL + EUCALIPTO  + GOMENOL + METILO SALICILATO,6 G + 1 8 G + 0 4 G + 0 4 G + 7 G / 100 G,CREMA TÓPICA
ALCANFOR + OXIDO DE ZINC + ACETATO DE CLORHEXIDINA,1 G + 10 G + 0 5 G / 100 G,POLVO PARA USO TÓPICO
ALCANFOR + MENTOL + SALICILATO DE METILO +  EUCALIPTO + PETROLATO BLANCO,9 G + 2 G + 3 4 G + 0 8 G + 84  8 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + BENZOATO DE BENCILO,10 G + 10 G / 100 ML,SOLUCIÓN TÓPICA
ALCANFOR + MENTOL + OXIDO DE ZINC + TIMEROSAL,3 G + 0 6 G + 4 G + 0 1 G / 100 G,POMADA
ALCANFOR + YODO METALICO + YODURO DE POTASIO + SALICILATO DE METILO + GUAYACOL,10 G + 2 G + 2 G + 10 G + 6 G / 100 G,POMADA
ALCANFOR + MENTOL  + TIMOL + EUCALIPTOL + SALICILATO DE METILO + TREMENTINA,5 3 G + 2 9 G + 0 1 G + 1 4 G + 4 7 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + GUAYACOL + MENTOL + EUCALIPTO,1 5 G + 3 G + 0 5 G + 1 5 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + SALICILATO DE METILO + GUAYACOL + EUCALIPTUS +  TREMENTINA,4 G + 5 G + 5 G + 5 G + 5 G / 100 G,CREMA TÓPICA
ALCANFOR + SALICILATO DE METILO + GUAYACOL + EUCALIPTUS +  TREMENTINA,5 G + 5 G + 5 G + 5 G + 9 G,UNGÜENTO TÓPICO
ALCANFOR + MENTOL + GUAYACOL + EUCALIPTOL + TREMENTINA + SALICILATO DE METILO,1 6 G + 3 3 G + 3 3 G + 5 G + 6 7 G + 6 7 G / 100 ML,SOLUCIÓN TÓPICA
ALCANFOR + MENTOL + EUCALIPTOL +  TREMENTINA + NUEZ MOSCADA + HOJAS DE CEDRO + TIMOL,4 6 G + 5 2 G + 2 8 G + 1 3 G + 0 6 G + 0 4 + 0 09 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + MENTOL + EUCALIPTOL +  TREMENTINA + NUEZ MOSCADA + HOJAS DE CEDRO + TIMOL,5 3 G + 2 9 G + 1 3 G + 4 8 G +0 7 G + 0 4 G +  1 G  / 100 G,UNGÜENTO TÓPICO
ALCANFOR + MENTOL + GUAYACOL + SALICILATO DE METILO,5 G +1 G + 3 G + 10 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + MENTOL + GUAYACOL + SALICILATO DE METILO,2 G + 7 G + 0 5 G + 0 5 G / 100 ML,SOLUCIÓN TÓPICA
ALCANFOR + GUAYACOL + TIMOL + TREMENTINA + EUCALIPTOL + MENTOL,1 3 G + 0 1 G + 0 1 G + 0 4 G + 5 3 G + 2 8 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + MENTOL + EUCALIPTOL + TREMENTINA + NUEZ MOSCADA + HOJAS DE CEDRO,4 5 G + 5 2 G + 2 8 G + 1 3 G + 0 6 G + 0 4 G / 100 G,CREMA TÓPICA
ALCANFOR + ESORCINA MONOACETATO  EURESOL  + IRGASAN  DP-300  TRICLOSAN  + AZUFRE  HIDRO ALCOHOL SOLUBILIZADO   BIO  AZUFRE   FL,0 2 G + 0 5 G + 0 1 G + 2 G / 100 ML,LOCIÓN
ALCANFOR + MENTOL + EUCALIPTOL + SALICILATO DE METILO + IODO METALICO,2 5 G + 3 G + 5 G +  6 G + 6 G / 100 G,POMADA
ALCANFOR + MENTOL  + GUAYACOLATO + SALICILATO DE METILO +  TREMENTINA,3 G + 5 G + 4 G + 2 G + 5 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR + SALICILATO DE METILO + EUCALIPTOL + TREMENTINA,4 5 G + 3 7 G + 3 7 G + 4 5 G / 100 G,UNGÜENTO TÓPICO
ALCANFOR +MENTOL + SALICILATO DE METILO,4% + 3% + 10%,UNGÜENTO TOPICO
ALCANFOR + CALAMINA,0 1 G + 8 G  / 100 ML,SOLUCIÓN TÓPICA
ALCOHOL ETÍLICO 96% + MENTOL,73 0 ML +  0 39 G / 100ML,LOCIÓN
ALCOHOL ETÍLICO 96° GL,72 90ML  / 100ML,SOLUCIÓN TÓPICA
ACEITE DE HÍGADO DE BACALAO QUE APORTA 9360 UI / G DE VITAMINA A 945 UI / G DE VITAMINA D  9 G  VITAMINA A PALMITATO / VITAMINA D3  10 1  QUE APORTA 47425 926 UI / G DE VITAMINA A PALMITATO Y 5040 5 UI / G DE VITAMINA D3  0 046 G,9361 UI + 945 UI + 9 G + 47425 926 UI + 5040 5 UI + 0 046 G,EMULSIÓN ORAL
ACEITE MINERAL,100 ML / 100 ML,SOLUCIÓN ORAL
ACEITE MINERAL + LANOLINA ANHIDRA + PETROLATO BLANCO,30 MG + 30 MG + 1 G / 1 G,UNGÜENTO OFTÁLMICO
ACEITE MINERAL + PICOSULFATO DE SODIO,33 3 MG + 28 2 G / 100 ML,EMULSIÓN ORAL
ACEITE MINERAL + FENOLFTALEINA,28 6 G + 1 3 G / 100 ML,EMULSIÓN
ACEITE MINERAL + CALCIO + VITAMINA D + MALTODEXTRINA + CELULOSA MICROCRISTALINA + ÁCIDO ESTEÁRICO + ESTEARATO DE MAGNESIO + CROSPOVIDONA,9 8 MG + 600 MG + 200 UI + 124 5 MG + 28 MG + 0 02 MG + 0 02MG + 0 02 MG,TABLETA CUBIERTA
ACEITE MINERAL + PETROLATO BLANCO,42 5 G + 56 8 G / 100 G,UNGÜENTO OFTALMICO
ACEITE MINERAL + ÓXIDO DE ZINC + LANOLINA,15 G +20G + 10 G / 100 G,PASTA
ACEITE MINERAL+LANOLINA ANHIDRA LIQUIDA,30 MG +30 MG/G,UNGÜENTO OFTÁLMICO
ACETAMINOFÉN + ÁCIDO CÍTRICO + BICARBONATO DE SODIO + CARBONATO DE SODIO,0 5G + 2 1440G + 2 3180G + 0 5G / 5 5 G,POLVO EFERVESCENTE PARA RECONSTITUIR A SOLUCIÓN ORAL
ACETAMINOFÉN + HIOSCINA N-BUTILBROMURO,500MG + 10MG,TABLETA
"ACETAMINOFEN + N - BUTIL 
BROMURO   DE   HIOSCINA",325MG + 10MG,TABLETA
ACETAMINOFÉN + CLORFENIRAMINA MALEATO,2 50G + 20 0 MG / 100 ML,JARABE
ACETAMINOFÉN + CAFEÍNA,250 MG +  20 MG,CÁPSULA BLANDA
ACETAMINOFÉN + CAFEÍNA + IBUPROFENO,250MG + 65MG + 400MG,CÁPSULA BLANDA / TABLETAS
ACETAMINOFÉN + CAFEÍNA + IBUPROFENO,250 MG+65 MG + 200 MG,CÁPSULA BLANDA
ACETAMINOFEN + IBUPROFEN  + CAFEÍNA,250 MG + 400 MG +  65 MG,CÁPSULA BLANDA  QUE CONTIENE 2 TABLETAS
ACETAMINOFÉN + CAFEÍNA + FENILEFRINA CLORHIDRATO,500 MG + 25 MG + 5 MG,TABLETA RECUBIERTA
ACETAMINOFÉN + CAFEÍNA + ÁCIDO ACETILSALICÍLICO,250MG + 65MG + 250MG,TABLETA
ACETAMINOFÉN + CAFEÍNA ANHIDRA + FENILEFRINA CLORHIDRATO + CETIRIZINA DICLORHIDRATO,500MG+30MG+10MG+5MG,CÁPSULA BLANDA
ACETAMINOFÉN  + FENILEFRINA CLORHIDRATO + CLORFENIRAMINA MALEATO,500MG+10MG+4MG / SOBRE,GRANULADO
ACETAMINOFÉN+FENILEFRINA CLORHIDRATO+HIDROBROMURO DE DEXTROMETORFANO+MALEATO DE CLORFENIRAMINA,325MG+5MG+10MG+2MG,CÁPSULA BLANDA
ACETAMINOFÉN+FENILEFRINA CLORHIDRAO+HIDROBROMURO DE DEXTROMETORFANO,325MG+5MG+10MG,CAPSULA BLANDA
ACETAMINOFEN+FENILLEFRINA CLORHIDRATO+HIDROBROMURO DE DEXTROMETORFANO+CLORFENIRAMINA MALEATO,500MG + 5MG + 15MG + 2MG,TABLETA
ACETAMINOFEN + FENILEFRINA CLORHIDRATO + DESLORATADINA+ CAFEINA ANHIDRA,7 69G + 0 31G + 0 04G + 0 46G / 100G,GRANULADO
ACETAMINOFEN + CAFEINA ANHIDRA + FENILEFRINA CLORHIDRATO + DESLORATADINA,500MG +  30MG + 20MG + 2 5MG,CÁPSULA
ACETAMINOFEN+DOXILAMINA SUCCINATO+DEXTROMETORFANO BROMOHIDRATO,325MG + 6 25MG + 15MG,CÁPSULA BLANDA
ACETAMINOFEN+CLORHIDRATO DE FENILEFRINA +DEXTROMETORFANO BROMOHIDRATO+DOXILAMINA SUCCINATO,250MG 10MG +  5MG + 6 25MG,CÁPSULA BLANDA
ACETAMINOFEN + LEVOCETIRIZINA DICLORHIDRATO+ FENILEFRINA CLORHIDRATO + DEXTROMETORFANO BROMHIDRATO,500 MG + 2 5MG + 20MG + 20MG/SOBRE  15 GRAMOS,POLVO P/R A SOLUCIÓN
ACETAMINOFEN +  FENILEFRINA CLORHIDRATO + DIFENHIDRAMINA CLORHIDRATO + DEXTROMETORFANO BROMHIDRATO,500MG + 10MG + 25MG + 20MG/SOBRE  15 GRAMOS,POLVO P/R A SOLUCIÓN
ACETATO DE ALUMINIO,0 05 G / 100 ML,LOCIÓN TÓPICA
ACETATO DE ALUMINIO,0 05 G / 100 G,CREMA
ACETATO DE ALUMINIO,6 15G  / 100ML,SUSPENSIÓN ORAL
ACETATO DE ALUMINIO,234 MG,TABLETA
ACETATO DE CALCIO + SULFATO DE ALUMINIO,0 069 G + 0 099 G / 100 ML,LOCIÓN
ACETATO DE ALUMINIO + SULFATO DE ALUMINIO,0 1480 MG + 0 059 MG,LOCIÓN
ACETATO DE ALUMINIO + SULFATO DE ALUMINIO,15 MG + 36 6 MG / 100 ML,SOLUCIÓN TÓPICA
ACETATO DE ALUMINIO + ACETATO DE CALCIO,0 14 MG + 0 89 ML / 100  ML,LOCIÓN
ACETATO DE ALUMINIO + ACETATO DE CALCIO,76 MG + 86 MG / 100 ML,LOCIÓN
ACETATO DE ALUMINIO + ACETATO DE CALCIO,0 18 G + 0 16 G / 100 ML,LOCIÓN
ACETATO DE ALUMINIO + ACETATO DE CALCIO + ÁCIDO ACÉTICO + ÁCIDO BÓRICO + SULFATO DE ALUMINIO,0 05 G + 0 05 G + 0 04 G + 0 04 G + 0 07 G  / 100 ML,LOCIÓN
ACETATO DE ULIPRISTAL,30MG,TABLETA
ACICLOVIR,5 G / 100 G,CREMA TÓPICA - LABIAL
ACICLOVIR,5G / 100 G,UNGÜENTO TÓPICO
ACICLOVIR,5G / 100G,CREMA VAGINAL
ACICLOVIR,9 G / 100G,CREMA
ÁCIDO ACÉTICO,0 077 G/100 ML,SOLUCIÓN  VAGINAL
ÁCIDO ACETILSALICÍLICO  + CAFEÍNA,650 MG + 65 MG,POLVO EFERVECENTE
ÁCIDO ACETILSALICÍLICO  + CAFEÍNA,500 MG + 50 MG,TABLETA
ÁCIDO ACETILSALICÍLICO  + CAFEÍNA,500 MG + 65 MG,TABLETA
ÁCIDO ACETILSALICÍLICO  + CAFEÍNA,500 MG + 30 MG,TABLETA
ÁCIDO ACETILSALICÍLICO  + CAFEÍNA,650 MG + 60 MG,TABLETA
ÁCIDO ACETILSALICÍLICO  + CAFEÍNA,500 MG + 50 MG,TABLETA
ÁCIDO ACETILSALICÍLICO  + CAFEÍNA,500 MG + 45 MG,TABLETA
ÁCIDO ACETILSALICÍLICO  + BICARBONATO DE SODIO,0 5 G + 2 8 G,GRANULOS EFERVECENTES
ÁCIDO ACETILSALICÍLICO  + BICARBONATO DE SODIO + CAFEINA,0 65 G + 2 5 G + 0 5 G,GRANULOS EFERVECENTES
ÁCIDO ACETILSALICÍLICO  + BICARBONATO DE SODIO + CAFEINA + ÁCIDO CITRICO EN POLVO,500 MG + 1400 MG + 65 MG + 1000 MG/ SOBRE  3340 MG,POLVO EFERVESCENTE
ÁCIDO ACETILSALICÍLICO + HIDROXIDO DE ALUMINIO GEL SECO + HIDROXIDO DE MAGNESIO,325 MG + 75 MG + 75 MG,TABLETA
ÁCIDO ACETILSALICÍLICO  + PARACETAMOL + CAFEINA,200 MG + 150 MG + 50 MG,TABLETA
ÁCIDO ASCÓRBICO + ASCORBATO DE SODIO,260 MG + 290 MG,TABLETA MASTICABLE
ÁCIDO ASCÓRBICO + ASCORBATO DE SODIO,218 MG + 345 MG,TABLETA MASTICABLE
ÁCIDO BENZÓICO + TINTURA DE YODO OFICINAL,1 G + 26 ML / 100 ML,SOLUCIÓN TÓPICA
ÁCIDO BENZÓICO + RESORCINOL,4 G + 5 G / 100 G,UNGÜENTO TÓPICO
ÁCIDO BENZOICO + ÁCIDO SALICÍLICO,6 G + 3 G / 100 ML,SOLUCIÓN TÓPICA
ÁCIDO BENZOICO + ÁCIDO BÓRICO + RESORCINOL,5G + 5 G + 3 G/ 100 G,CREMA
ÁCIDO BENZOICO + ÁCIDO SALICÍLICO + RESORCINOL,5 G + 2 5 G + 2 22 G / 100 ML,LOCIÓN
ÁCIDO BENZOICO + ÁCIDO SALICÍLICO + RESORCINOL,5 G + 5 G +  3 G / 100 ML,LOCIÓN TÓPICA
ÁCIDO BENZOICO + ÁCIDO SALICÍLICO + AZUFRE PRECIPITADO,5 G + 2 5 G + 5 G / 100 G,CREMA TÓPICA
ÁCIDO BENZOICO + ÁCIDO SALICÍLICO + OXIDO DE ZINC,6 G + 3 G + 20 G / 100 G,UNGÜENTO TÓPICO
ÁCIDO BENZOICO + IRGASAN,5 G + 0 1 G / 100 G,POLVO PARA USO TÓPICO
ÁCIDO BENZOICO + ÁCIDO SALICÍLICO + YODO + YODURO DE POTASIO,2 G + 2 G + 1 2 G + 2 4 G / 10 ML,SOLUCIÓN TÓPICA
ÁCIDO BÓRICO + DMDM HIDANTOÍNA,0 50 % + 0 10 %,GEL TÓPICO
ÁCIDO BÓRICO + ÓXIDO DE ZINC,2 G + 2G /100G,CREMA TÓPICA
ÁCIDO CÍTRICO + BICARBONATO DE SODIO + SIMETICONA,38 21 G + 55 14 + 1 G / 100 G,GRÁNULOS
ÁCIDO CÍTRICO + BICARBONATO DE SODIO + CARBONATO DE MAGNESIO,9 3 G + 0 6 G + 4 2 G / 100 ML,SOLUCIÓN ORAL
ÁCIDO CÍTRICO + BICARBONATO DE SODIO + ÁCIDO TARTARICO,16 4 G + 56 6 G + 27 G / 100 G,POLVO Y GRANULADO
ÁCIDO CÍTRICO + BICARBONATO DE SODIO + ÁCIDO TARTARICO,28 2 G + 53 5 G + 18 G / 100 G,POLVO Y GRANULADO
ÁCIDO CÍTRICO + BICARBONATO DE SODIO + ÁCIDO TARTARICO,8 1 G + 54 3 G + 37 5 / 100 G,POLVO Y GRANULADO
ÁCIDO CÍTRICO + BICARBONATO DE SODIO + ÁCIDO TARTARICO,13 6 G + 47 1 G + 22 5 G / 100 G,POLVO Y GRANULADO
ÁCIDO CÍTRICO + BICARBONATO DE SODIO + ACIDO ACETILSALICILICO,1000 MG + 1700 MG + 325 MG,TABLETA EFERVECENTE
ÁCIDO CÍTRICO + BICARBONATO DE SODIO + ACIDO ACETILSALICILICO,1 MG + 1 9 MG + 500 MG,TABLETA EFERVECENTE
ÁCIDO CÍTRICO + BICARBONATO DE SODIO + ACIDO ACETILSALICILICO,1 G + 1 9 G + 324 MG,TABLETA EFERVECENTE
ÁCIDO CÍTRICO + BICARBONATO DE SODIO,39 9 G + 53 4 G / 100 G,GRANULOS EFERVECENTES
ÁCIDO CÍTRICO + BICARBONATO DE SODIO,43 2 G + 46 7  G / 100 G,POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL
ÁCIDO CÍTRICO ANHIDRO + ÁCIDO TARTÁRICO +  BICARBONATO DE SODIO,13 66 G + 22 50 G+  47 160 G / 100G,GRÁNULOS EFERVESCENTES
ÁCIDO CÍTRICO + BICARBONATO DE SODIO + ÁCIDO TARTARICO + SULFATO DE SODIO,10 G + 30 G + 20 G + 20 G / 100 G,GRANULOS EFERVECENTES
ÁCIDO CÍTRICO + HIDROXIDO DE MAGNESIO,8 G + 2 G / 100 ML,SUSPENSIÓN ORAL
ÁCIDO CÍTRICO + BICARBONATO DE SODIO + CARBONATO DE SODIO,2 1 G + 2 3 G + 0 5 G / 5 G,POLVO PARA RECONSTITUIR A SOLUCIÓN ORAL
ÁCIDO CÍTRICO + HIDROXIDO DE MAGNESIO + METILPARABENO,0 02 G + 28 G + 0 2 G / 100 ML,SUSPENSIÓN ORAL
ÁCIDO CÍTRICO + CLORURO DE SODIO + CITRATO DE SODIO DIHIDRATO + CITRATO DE POTASIO MONOHIDRATO + DEXTROSA ANHIDRA,369 MG + 205 MG + 98 MG + 216 MG + 2 5 G / 100 ML,SOLUCIÓN ORAL
ÁCIDO DEHIDROCÓLICO + PANCREATINA + SIMETICONA,100 MG + 150 MG + 80 MG,CÁPSULA DURA
ÁCIDO ASCÓRBICO + ALCOHOL POLIVINÍLICO + DEXTROSA + EDETATO DI- SÓDICO + FOSFATO DE SODIO DI-BÁSICO + FOSFATO DE SODIO MONOBÁSICO + POLI-ETILENGLICOL,1 G + 0 9 G + 3 3 G + 0 1 G + 0 12 G + 0 1 G + 0 5 MG,SOLUCIÓN OFTÁLMICA
ÁCIDO FÓLICO,0 4 MG,TABLETA
ÁCIDO FÓLICO,0 8 MG,TABLETA
ÁCIDO FÓLICO,1 MG,TABLETA
ACIDO HIALURÓNICO,1 5 MG / ML,SOLUCIÓN OFTÁLMICA
ÁCIDO SALICÍLICO,20G / 100 G,SOLUCIÓN TÓPICA
ÁCIDO SALICÍLICO,8G / 100 G,ESPUMA
ÁCIDO SALICÍLICO,5G / 100 ML,LOCIÓN
ÁCIDO SALICÍLICO,10 G / 100 ML,LOCIÓN
ÁCIDO SALICÍLICO,11G / 100 ML,LOCIÓN
ÁCIDO SALICÍLICO,11 M G / 120 ML,CHAMPÚ
ÁCIDO SALICÍLICO,7 5MG / 100ML,CHAMPÚ
ÁCIDO SALICÍLICO,5 MG,TABLETA
ÁCIDO SALICÍLICO + ÁCIDO LÁCTICO,20 G +  5  G/100 ML,SOLUCIÓN
ÁCIDO SALICÍLICO + ÁCIDO LÁCTICO,0 167G + 0 167 /ML,SOLUCIÓN TÓPICA
ÁCIDO UNDECILÉNICO + UNDECILINATO DE ZINC,2 G + 20 G / 100 G,POLVO PARA USO TÓPICO
AESCINA,10 5 G,GEL TÓPICO
AESCINA,300 MG,TABLETA CUBIERTA
AESCINA,20 MG,TABLETA CUBIERTA
AESCINA + HEPARINOIDE +SALICILATO DE DIETILAMINA,10 G + 0 3 G + 5 G /100 G,GEL TÓPICO
AGUA DE MAR ISOTÓNICA + AGUA PURIFICADA,31 82ML + 68 18ML/100ML,SOLUCIÓN NASAL
ALANTOÍNA,0 2 G / 100 ML,CREMA TÓPICA
ALANTOINA + IRGOSAN + RESORCINONAMONOARETATO + BIO-AZUFRE-FLUIDO + MENTOL,0 01 G + 0 15 G + 0 5 G + 2 G / 100 ML,LOCIÓN
ALANTOINA + OXIDO DE ZINC + OXIDO DE ZINC + OXIDO DE HIERRO,1 G + 5 G + 5 G + 0 2 G / 100 G,CREMA TÓPICA
ALCOHOL POLIVINILLICO + POLIETILENGLICOL  + DEXTROSA,9 MG + 5 MG + 33 MG / 1 ML,SOLUCIÓN OFTÁLMICA
ALCOHOL POLIVINÍLICO,14 MG / ML,SOLUCIÓN OFTÁLMICA
ALANTOÍNA + SOLUCIÓN ALQUITRÁN DE HULLA,0 2 G + 5 0 G / 100 ML,EMULSIÓN
ALANTOINA + OXIDO DE ZINC,1 G + 12 G / 100 G,CREMA TÓPICA
ALGINATO DE SODIO + HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + BICARBONATO DE SODIO + SIMETICONA,1 5 G + 2 G + 2 G + 1 7 G + 300 MG / 100 ML,SUSPENSIÓN ORAL
ALGINATO DE SODIO,2 5 G / 100 ML,SUSPENSIÓN ORAL
ALGINATO DE SODIO  + BICARBONATO DE SODIO + SIMETICONA,5 G + 2 6 G + 1 G / 100 ML,SUSPENSIÓN ORAL
ALGINATO DE SODIO  + BICARBONATO DE SODIO  + MAGALDRATO  + SIMETICONA,5G + 2 67 + 8G + 1 2G / 100ML,SUSPENSIÓN ORAL
ALGINATO DE SODIO  + BICARBONATO DE SODIO,2 5 G + 2 67 G / 100 ML,SUSPENSIÓN ORAL
ALGINATO DE SODIO  + BICARBONATO DE SODIO,1000MG + 200 MG / 10 ML,SUSPENSIÓN ORAL
ALGINATO DE SODIO  + BICARBONATO DE SODIO + CARBONATO DE CALCIO,2 5  G + 2 67 G + 1 5 G / 100 ML,SUSPENSIÓN ORAL
ALGINATO DE SODIO  + BICARBONATO DE SODIO + CARBONATO DE CALCIO,500 MG + 213 MG + 325 MG / 100ML **,SUSPENSIÓN ORAL
